organisation,fqdn,ip,san_dns_names,not_valid_before,not_valid_after,asn,asn_description,country,registrar,last_update_asn,last_update_asn_desc,subject_dn,issuer_dn,common_names
organisation,fqdn,ip,san_dns_names,not_valid_before,not_valid_after,asn,asn_description,country,registrar,last_update_asn,last_update_asn_desc,subject_dn,issuer_dn,common_names
,afspraak.derondevenen.nl,217.166.49.41,,,,1136,"KPN KPN National, NL",NL,ripencc,2001-04-06,1993-09-01,,,
,bdrc-front.hanafn.nl,185.254.41.99,,,,57795,"NGNETWORKS, NL",NL,ripencc,2018-04-06,2012-02-10,,,
,cloudtunnel.rud-zeeland.nl,37.247.33.183,,,,25459,"NEDZONE-AS, NL",NL,ripencc,2012-04-17,2002-11-29,,,
,cloudtunnel.terneuzen.nl,213.34.225.121,,,,15542,"ZEELANDNET DELTA Fiber Nederland, NL",NL,ripencc,1999-09-16,2000-07-31,,,
,cms.digid.nl,93.92.103.96,,,,24586,"NL-INTERMAX Intermax Cloudsourcing B.V., NL",NL,ripencc,2008-01-29,2002-01-09,,,
,deelnemersportaal-mijnkoopvaardij-nl-a.mn-services.nl,FAILURE,,,,,,,,,,,,
,deelnemersportaal-mijnpmt-nl-a.mn-services.nl,FAILURE,,,,,,,,,,,,
,defmcd.mindef.nl,217.169.236.107,,,,15466,"ASN-DTO Maasland Netherlands, NL",NL,ripencc,2001-03-27,2001-07-27,,,
,dgp2.procesinfrastructuur.nl,144.43.253.17,,,,212157,"LOGIUS-AZ-1, NL",NL,ripencc,1993-09-01,2020-12-15,,,
,dji-mipost.ssc-i.nl,159.46.197.172,,,,29311,"SOLVINITY-, NL",NL,ripencc,1993-09-01,2003-07-29,,,
,dji-mitunnel.ssc-i.nl,159.46.197.173,,,,29311,"SOLVINITY-, NL",NL,ripencc,1993-09-01,2003-07-29,,,
,dji-miwork.ssc-i.nl,159.46.197.134,,,,29311,"SOLVINITY-, NL",NL,ripencc,1993-09-01,2003-07-29,,,
,eolf.octrooicentrum.nl,145.12.218.17,,,,203396,"MINEZ-DICTU, NL",NL,ripencc,1993-09-01,2016-01-27,,,
