fqdn,ip,prefix,asn,asn_description,country,registrar,last_update_asn,last_update_asn_desc,subject_dn,issuer_dn,common_names,san_dns_names,not_valid_before,not_valid_after
aaa.wigo4it.nl,80.113.84.147,80.113.0.0/17,33915,"TNF-AS, NL",NL,ripencc,2001-07-25,2004-09-06,CN=aaa.wigo4it.nl,"CN=R3,O=Let's Encrypt,C=US",aaa.wigo4it.nl,aaa.wigo4it.nl,2022-11-25T12:13:27,2023-02-23T12:13:26
aaninhetdonker.nl,178.22.59.202,178.22.56.0/21,12859,"NL-BIT BIT BV, NL",NL,ripencc,2010-04-01,1999-12-15,"CN=aaninhetdonker.nl,O=Ministerie van Infrastructuur en Waterstaat,L='s-Gravenhage,ST=Zuid-Holland,C=NL","CN=QuoVadis Europe SSL CA G2,O=QuoVadis Trustlink B.V.,C=NL",aaninhetdonker.nl,"aaninhetdonker.nl,www.aaninhetdonker.nl",2022-08-29T08:34:45,2023-08-29T08:44:00
aanvraag-beheer.ciz.nl,194.49.83.42,194.49.83.0/24,202315,"ACCENT-AUTOMATISERING, NL",NL,ripencc,2018-05-17,2018-06-04,"CN=aanvraag-beheer.ciz.nl,O=CIZ (Centrum Indicatiestelling Zorg),L=Utrecht,ST=Utrecht,C=NL","CN=QuoVadis Europe SSL CA G2,O=QuoVadis Trustlink B.V.,C=NL",aanvraag-beheer.ciz.nl,aanvraag-beheer.ciz.nl,2022-10-18T13:40:21,2023-10-27T23:45:00
activesync.hetcak.nl,185.125.41.7,185.125.40.0/22,203740,"CAK, NL",NL,ripencc,2015-11-06,2015-11-10,"CN=activesync.hetcak.nl,O=CAK,L='s-Gravenhage,ST=Zuid-Holland,C=NL","CN=QuoVadis Europe SSL CA G2,O=QuoVadis Trustlink B.V.,C=NL",activesync.hetcak.nl,"activesync.hetcak.nl,webmail.hetcak.nl,autodiscover.hetcak.nl",2022-11-08T11:01:58,2023-11-08T10:56:00
admin-console.kpn-dsh.com,35.156.37.241,35.156.0.0/14,16509,"AMAZON-02, US",US,arin,2016-08-09,2000-05-04,"CN=admin-console.kpn-dsh.com,O=Koninklijke KPN N.V.,ST=Zuid-Holland,L=Rotterdam,C=NL","CN=certSIGN Enterprise CA Class 3 G2,OU=certSIGN Enterprise CA Class 3 G2,O=certSIGN,C=RO",admin-console.kpn-dsh.com,admin-console.kpn-dsh.com,2022-11-15T04:34:34,2023-11-15T04:34:34
admin-console.poc.kpn-dsh.com,35.158.54.73,35.156.0.0/14,16509,"AMAZON-02, US",US,arin,2016-08-09,2000-05-04,"CN=admin-console.poc.kpn-dsh.com,O=Koninklijke KPN N.V.,ST=Zuid-Holland,L=Rotterdam,C=NL","CN=certSIGN Enterprise CA Class 3 G2,OU=certSIGN Enterprise CA Class 3 G2,O=certSIGN,C=RO",admin-console.poc.kpn-dsh.com,admin-console.poc.kpn-dsh.com,2022-11-16T01:34:27,2023-11-16T01:34:27
admin-console.rvp-azure-dsh.kpn-dsh.com,FAILURE,,,,,,,,,,,,,
afspraak.derondevenen.nl,217.166.49.41,217.166.0.0/16,1136,"KPN KPN National, NL",NL,ripencc,2001-04-06,1993-09-01,,,,,,
afspraken.almelo.nl,217.114.103.208,217.114.96.0/20,47886,"EQUINIX-NL-ASN, NL",NL,ripencc,2001-01-25,2008-09-11,"CN=afspraken.almelo.nl,O=Gemeente Almelo,L=Almelo,ST=Overijssel,C=NL","CN=QuoVadis Europe SSL CA G2,O=QuoVadis Trustlink B.V.,C=NL",afspraken.almelo.nl,afspraken.almelo.nl,2022-11-21T15:14:14,2023-11-21T15:09:00
afspraken.gemeente-oldambt.nl,217.119.235.157,217.119.224.0/20,16350,"ECHELON-AS Institutenweg 38, NL",NL,ripencc,2001-02-16,2001-03-08,"CN=afspraken.gemeente-oldambt.nl,O=Gemeente Oldambt,L=Winschoten,ST=Groningen,C=NL","CN=certSIGN Enterprise CA Class 3 G2,OU=certSIGN Enterprise CA Class 3 G2,O=certSIGN,C=RO",afspraken.gemeente-oldambt.nl,afspraken.gemeente-oldambt.nl,2022-11-23T14:54:05,2023-11-23T14:54:05
